,team,total_shots,onTarget,goals,xG_total,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,recoveries,recoveries_f3,duels_won,fouls_committed,shots_against,shots_onTarget_against,xGA,goals_against,clean_sheets,ppda,total_passes,f3_passes,short_passes,long_passes,average_pass_length,crosses,ranking,points_per_match,groups
0,Real Madrid,717,287,108,80.7949126904,15.062761506276152,37.63066202090592,0.1126846759977684,1715,448,469,497,440,142,44.3344933616,34,14,12.78511373776504,23279,2225,15556,2388,18.465597127397107,683,2,2.37,1
1,Napoli,664,244,78,64.6306677662,11.74698795180723,31.967213114754102,0.0973353430213855,1847,452,433,485,348,90,28.2746211425,32,15,13.472731379274682,26906,2671,18602,2099,16.582879870830226,519,2,2.16,1
2,Tottenham Hotspur,656,249,68,62.3562029292,10.365853658536585,27.309236947791167,0.0950551873920731,1976,504,507,500,428,122,35.5612196074,32,13,10.57166126856957,20624,2527,11906,2577,20.121035670698216,431,3,1.84,1
3,Liverpool,635,203,62,58.3736570603,9.763779527559056,30.541871921182267,0.0919270189925984,1999,475,533,484,405,133,38.0275735649,49,11,10.999069154866849,21464,2427,12984,2298,18.959321599801605,511,8,1.58,2
4,Bayern Munich,622,258,78,73.353521299,12.540192926045016,30.23255813953488,0.1179317062684887,1604,429,297,426,254,81,22.5902786853,16,20,11.116863162705272,25862,2633,18128,2090,18.20087684455928,561,1,2.59,1
5,Manchester City,614,209,71,64.5550554535,11.563517915309443,33.97129186602871,0.1051385267972312,1974,561,478,482,343,127,39.0589341493,39,16,11.831283498448032,22340,2406,14630,2040,18.10950642802236,540,4,1.74,1
6,Juventus,608,212,72,61.6795639639,11.842105263157894,33.9622641509434,0.1014466512564144,1870,478,397,617,349,98,22.4441384756,19,22,11.246690413984767,21563,2138,13573,2222,19.054016828307745,505,1,2.39,1
7,Barcelona,604,261,109,91.4336182236,18.04635761589404,41.7624521072797,0.1513801626218543,1737,466,395,426,368,124,32.6863177642,27,18,10.510512342472584,25707,2520,17123,2182,17.848853560510417,456,1,2.39,1
8,AS Roma,592,213,83,61.9490562535,14.020270270270272,38.96713615023474,0.1046436761038851,1841,468,332,577,439,151,41.1149258354,38,8,11.34421167848602,21927,2276,13463,2606,18.72879680202077,528,3,2.11,1
9,Arsenal,583,209,62,65.1361259979,10.634648370497429,29.66507177033493,0.1117257735813035,1903,495,471,404,456,150,33.5746859927,33,18,13.068067229407212,22709,2389,14692,2189,18.199893479055632,476,2,1.87,1
10,Fiorentina,582,179,58,53.8283523495,9.965635738831615,32.402234636871505,0.0924885779201031,1877,398,375,591,352,114,35.2719858525,42,14,11.255345241231764,23775,2281,16065,2329,18.561553476933767,430,5,1.68,1
11,AC Milan,565,180,49,53.6957063618,8.672566371681416,27.22222222222222,0.0950366484279646,1993,482,455,646,463,146,38.6860510734,42,11,10.719767518639046,18933,2134,11114,2350,19.2529689438262,485,7,1.5,2
12,West Ham United,559,181,64,54.5265472509,11.449016100178891,35.35911602209944,0.0975430183379248,1941,448,429,443,530,162,54.267445217,49,11,14.290503354144995,16773,2134,8899,2629,20.66176406741557,477,7,1.63,2
13,Chelsea,535,172,55,53.5799953292,10.2803738317757,31.97674418604652,0.1001495239798131,1852,435,529,469,493,176,47.968943584,51,9,13.08297292476341,21275,2238,13356,2221,18.59215538823332,459,10,1.32,2
14,Inter Milan,530,163,49,51.3645296464,9.245283018867925,30.06134969325153,0.09691420688,1923,436,408,558,476,153,44.0858811161,37,15,12.89563333407992,20666,2137,12586,2331,18.923078318030853,564,4,1.76,1
15,Southampton,527,168,57,54.2232578082,10.815939278937382,33.92857142857143,0.1028904322736243,1830,453,447,500,471,141,39.7503228985,41,12,13.720117231276117,17995,2398,9136,2830,20.526170047054915,606,6,1.66,2
16,Leicester City,525,179,67,66.282170986,12.761904761904765,37.43016759776536,0.1262517542590476,1915,472,528,457,517,138,46.1335511507,36,15,14.181316533619368,15093,2487,6777,2939,21.41046316669876,516,1,2.13,1
17,Borussia Dortmund,524,209,80,77.1420916137,15.267175572519085,38.27751196172249,0.1472177320872137,1688,412,344,425,270,108,30.8049580068,33,13,12.438475974148233,22982,2399,15812,1789,18.18339423426567,444,2,2.29,1
18,Lazio,520,145,52,50.3632405512,10.0,35.86206896551724,0.0968523856753846,2127,481,443,645,432,157,43.9464068784,50,12,11.45939259480766,20150,2304,11582,2642,19.32786713286772,631,8,1.42,2
19,Rayo Vallecano,501,178,52,50.3925160458,10.379241516966069,29.21348314606741,0.1005838643628742,1820,420,433,642,484,190,60.0971117519,71,6,12.096441005413004,18936,2290,9867,2825,20.493380407236103,599,18,1.0,4
20,Everton,498,173,56,50.6147446276,11.244979919678714,32.369942196531795,0.101636033388755,2001,428,468,384,557,188,54.4084047828,54,10,15.899413006681376,19868,2209,12043,2458,19.94154641743589,473,11,1.24,3
21,Sassuolo,495,152,48,44.8564333613,9.696969696969695,31.57894736842105,0.0906190572955555,2026,419,392,622,483,147,41.1992473737,39,11,12.045412287445464,18637,2273,10462,2616,19.56990771833173,529,6,1.61,2
22,Wolfsburg,494,186,46,47.2867143419,9.31174089068826,24.731182795698924,0.0957220938095141,1675,324,344,509,386,148,39.7844554166,49,9,20.223516023509195,19671,2011,11974,2379,20.25793565516722,510,8,1.32,2
23,Frosinone,492,131,34,31.4776449871,6.910569105691057,25.95419847328244,0.063978953225813,1858,413,440,686,778,227,68.6773387519,75,7,11.2646262162346,13267,2093,5836,2807,22.080048946921952,416,19,0.82,4
24,VfB Stuttgart,491,175,48,53.9672469355,9.775967413441954,27.42857142857143,0.1099129265488798,1643,412,371,554,462,205,61.0385987485,68,4,13.413913882752189,14830,1979,7491,2214,20.12863558244186,493,17,0.97,4
25,Empoli,489,146,39,36.9095707227,7.975460122699387,26.71232876712329,0.0754796947294478,1882,399,361,560,539,164,44.6789548258,48,12,13.013962953346494,20181,2145,13239,2082,17.421846526801346,290,10,1.21,2
26,Schalke 04,486,164,47,45.7951141457,9.670781893004117,28.65853658536585,0.0942286299294238,1614,355,349,571,491,161,44.2772296339,47,8,15.078556645753956,16793,1836,9553,2248,20.14145258361844,384,5,1.53,1
27,Atlético Madrid,483,164,62,52.9726226734,12.836438923395448,37.80487804878049,0.1096741670256728,1900,502,576,590,371,103,25.7091890812,18,24,13.421035588435588,19209,2251,11108,2479,18.16733591106215,499,3,2.32,1
28,Bayer Leverkusen,480,178,51,49.7986809897,10.625,28.651685393258425,0.103747252061875,1944,468,398,565,360,139,40.5244760824,39,13,12.279723058659105,16329,2228,8702,2352,19.40510581624969,386,3,1.76,1
